index,title,price,image_url,product_url,product_type,tags
84,Girls: You’re So Right Fuchsia Pink Skort,32.00,https://cdn.shopify.com/s/files/1/0028/1945/7082/files/112271.Girls--Your-So-Right-Fuchsia-Pink-Skirt.jpg?v=1721051439,https://shopthemint.com/products/girls-your-so-right-fuchsia-pink-skort,,"All Size Available, bis-hidden, Color_Pink, Combined, combined_girls-your-so-right-skort, DetailedCategory_Girls Skirts, DetailedCategory_Girls Skorts, Fuchsia_#ff0087, Girls, Girls Bottoms, Girls Clothing, Girls:New Arrival, Girls_Athleisure, GirlsSpringCollection, Holiday_Easter, MainCategory_Girls Bottoms, Move-Mint, NA Date_03/15/2024, NON_NEW_ARRIVAL, Pattern_Solid, Price_$25.00 to $49.99, Product Photos, Regular Price, Season_Spring, Season_Summer, TRUE_OUT_OF_STOCK, YGroup_girls-your-so-right-skort"
85,Rust Tipping Polo T-Shirt,1499.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_3553d7a6-09d3-4a4b-bcb1-98b1dea57010.jpg?v=1721617963,https://wrogn.com/products/rust-tipping-polo-t-shirt,T-Shirts,"All, AW24, Cotton, NewArrival, NSM, Polo Collar, Rust, Short Sleeves, Slim Fit, Solid, Stay Wrogn, STR, T-Shirts, Topwear, Topwear New Arrival, WTTS1012S"
86,Dark Brown Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_471e28b5-7343-41ce-b940-ac859989880d.jpg?v=1721617928,https://wrogn.com/products/dark-brown-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Brown, Chinos, Cotton, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, STR, Trousers, WTTR4057S"
87,Dark Brown Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_471e28b5-7343-41ce-b940-ac859989880d.jpg?v=1721617928,https://wrogn.com/products/dark-brown-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Brown, Chinos, Cotton, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, STR, Trousers, WTTR4057S"
88,Dark Brown Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_471e28b5-7343-41ce-b940-ac859989880d.jpg?v=1721617928,https://wrogn.com/products/dark-brown-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Brown, Chinos, Cotton, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, STR, Trousers, WTTR4057S"
89,Dark Brown Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_471e28b5-7343-41ce-b940-ac859989880d.jpg?v=1721617928,https://wrogn.com/products/dark-brown-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Brown, Chinos, Cotton, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, STR, Trousers, WTTR4057S"
90,Dark Brown Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_471e28b5-7343-41ce-b940-ac859989880d.jpg?v=1721617928,https://wrogn.com/products/dark-brown-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Brown, Chinos, Cotton, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, STR, Trousers, WTTR4057S"
91,Dark Brown Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_471e28b5-7343-41ce-b940-ac859989880d.jpg?v=1721617928,https://wrogn.com/products/dark-brown-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Brown, Chinos, Cotton, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, STR, Trousers, WTTR4057S"
92,Khaki Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_ada06919-a1a4-4210-a9b0-26a15e87ed85.jpg?v=1721617897,https://wrogn.com/products/khaki-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Chinos, Cotton, Khaki, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, Trousers, WTTR4056S"
93,Khaki Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_ada06919-a1a4-4210-a9b0-26a15e87ed85.jpg?v=1721617897,https://wrogn.com/products/khaki-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Chinos, Cotton, Khaki, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, Trousers, WTTR4056S"
94,Khaki Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_ada06919-a1a4-4210-a9b0-26a15e87ed85.jpg?v=1721617897,https://wrogn.com/products/khaki-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Chinos, Cotton, Khaki, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, Trousers, WTTR4056S"
95,Khaki Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_ada06919-a1a4-4210-a9b0-26a15e87ed85.jpg?v=1721617897,https://wrogn.com/products/khaki-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Chinos, Cotton, Khaki, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, Trousers, WTTR4056S"
96,Khaki Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_ada06919-a1a4-4210-a9b0-26a15e87ed85.jpg?v=1721617897,https://wrogn.com/products/khaki-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Chinos, Cotton, Khaki, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, Trousers, WTTR4056S"
97,Khaki Slim Fit Trouser,2199.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_ada06919-a1a4-4210-a9b0-26a15e87ed85.jpg?v=1721617897,https://wrogn.com/products/khaki-slim-fit-trouser,Trousers,"All, AW24, Bottomwear, Bottomwear New Arrival, Chinos, Cotton, Khaki, NewArrival, NSM, Slim Fit, Solid, Stay Wrogn, Trousers, WTTR4056S"
98,Black Graphic AOP Shirt,2099.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_436324dc-15a7-406d-8c88-ba7d395ae991.jpg?v=1721617884,https://wrogn.com/products/black-graphic-aop-shirt,Shirts,"All, AW24, Black, Cotton, MP, NewArrival, NSM, Oversized, Printed, Shirts, Short Sleeves, Spread Collar, Stay Wrogn, Topwear, Topwear New Arrival, WTSH2191F"
99,Black Graphic AOP Shirt,2099.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_436324dc-15a7-406d-8c88-ba7d395ae991.jpg?v=1721617884,https://wrogn.com/products/black-graphic-aop-shirt,Shirts,"All, AW24, Black, Cotton, MP, NewArrival, NSM, Oversized, Printed, Shirts, Short Sleeves, Spread Collar, Stay Wrogn, Topwear, Topwear New Arrival, WTSH2191F"
100,Girls: You’re So Right Fuchsia Pink Skort,32.00,https://cdn.shopify.com/s/files/1/0028/1945/7082/files/112271.Girls--Your-So-Right-Fuchsia-Pink-Skirt.jpg?v=1721051439,https://shopthemint.com/products/girls-your-so-right-fuchsia-pink-skort,,"All Size Available, bis-hidden, Color_Pink, Combined, combined_girls-your-so-right-skort, DetailedCategory_Girls Skirts, DetailedCategory_Girls Skorts, Fuchsia_#ff0087, Girls, Girls Bottoms, Girls Clothing, Girls:New Arrival, Girls_Athleisure, GirlsSpringCollection, Holiday_Easter, MainCategory_Girls Bottoms, Move-Mint, NA Date_03/15/2024, NON_NEW_ARRIVAL, Pattern_Solid, Price_$25.00 to $49.99, Product Photos, Regular Price, Season_Spring, Season_Summer, TRUE_OUT_OF_STOCK, YGroup_girls-your-so-right-skort"
101,Girls: You’re So Right Fuchsia Pink Skort,32.00,https://cdn.shopify.com/s/files/1/0028/1945/7082/files/112271.Girls--Your-So-Right-Fuchsia-Pink-Skirt.jpg?v=1721051439,https://shopthemint.com/products/girls-your-so-right-fuchsia-pink-skort,,"All Size Available, bis-hidden, Color_Pink, Combined, combined_girls-your-so-right-skort, DetailedCategory_Girls Skirts, DetailedCategory_Girls Skorts, Fuchsia_#ff0087, Girls, Girls Bottoms, Girls Clothing, Girls:New Arrival, Girls_Athleisure, GirlsSpringCollection, Holiday_Easter, MainCategory_Girls Bottoms, Move-Mint, NA Date_03/15/2024, NON_NEW_ARRIVAL, Pattern_Solid, Price_$25.00 to $49.99, Product Photos, Regular Price, Season_Spring, Season_Summer, TRUE_OUT_OF_STOCK, YGroup_girls-your-so-right-skort"
